"","ID","FID","Join_Count","TARGET_FID","entryid","POINT_X","POINT_Y","TRP","Join","UniqueID","Surveyor","SurveyYear","State","County","cornerid","TreeNo","Group_","verbatim","L1_tree1","L3_tree1","TDiameter","TDistance","TDegree","ecotype","ecotypenot","ecotype2","ecotypen_1","ecotype3","ecotypen_2","feature","featurenot","timbernote","understory","landnotes","landnotesv","waterwet_1","generalnot","Line","AREASYMBOL","SPATIALVER","MUSYM","MUKEY","temp","precip","DEM","om_r","sandtotal_","silttotal_","claytotal_","kwfact","kffact","awc_r","ksat_r","CLASS","NCCPI","distance"
"1",1,0,1,0,NA,728196.3004,518970.712," ","232117600240tree2",2.32e+11,"Abner E. VanNess",1834,"IN","Starke",NA,"tree2","Oak","Black Oak","B oak","Oak",NA,32.388048,"7.5"," "," "," "," ",NA,NA," "," "," ",NA," "," "," "," ","West","IN149",3,"Me",162616,9.850000381,1034.26001,225.0707092,1.72,89.7099991,6.8600001,3.4300001,0.07,0.07,0.08,91.7399979,"Developed, Open Space",0.479999989,-16854.1816494434
"2",2,1,1,1,NA,740052.7057,524186.1564," ","232113700600tree2",2.32e+11,"Sylvester Sibley",1833,"IN","Marshall",NA,"tree2","Oak","Bur Oak","Burr Oak","Oak",NA,10.661904,"279"," "," "," "," ",NA,NA," "," "," ",NA," "," "," "," ","West","IN099",4,"CvdA",1702545,10,1022.609985,245.363327,0.86,42.0400009,36.7200012,21.2399998,0.34,0.34,0.15,4.54,"Developed, Open Space",0.560000002,-4789.31921886587
"3",3,2,1,2,NA,708942.4167,523782.8823," ","232137600500tree1",2.32e+11,"Abner E. Van Ness",1834,"IN","Starke",NA,"tree1","Oak","White Oak","w oak","Oak",NA,1,"0"," "," "," "," ",NA,NA," "," "," ",NA," "," "," "," ","West","IN149",3,"To",162633,9.829999924,986.8900146,212.3838196,1.78,11.25,0.88,0.38,0.01,0.01,0.12,12.2700005,"Developed, Low Intensity",0.75,-31292.3941275748
"4",4,3,1,3,NA,723319.0149,518346.6888," ","232117300200tree2",2.32e+11,"Abner E. VanNess",1834,"IN","Starke",NA,"tree2","Oak","Black Oak","B oak","Oak",NA,19.714464,"189"," "," "," "," ",NA,NA," "," "," ",NA," "," "," "," ","West","IN149",3,"Px",162630,9.829999924,1026.310059,217.3795319,1.58,89.2900009,6.96,3.75,0.06,0.06,0.07,91.7399979,"Developed, Open Space",0.5,-21554.7278026644
"5",5,4,1,4,NA,728501.3814,520529.2166," ","232117600340tree1",2.32e+11,"Abner E. VanNess",1834,"IN","Starke",NA,"tree1","Oak","Black Oak","B oak","Oak",NA,245.827296,"91"," "," "," "," ",NA,NA," "," "," ",NA," "," "," "," ","West","IN149",3,"Mh",162617,9.829999924,1033.839966,221.6769867,3.6900001,90.25,6.5,3.25,0.04,0.04,0.09,91.7399979,"Cultivated Crops",0.50999999,-16724.0493823285
"6",6,5,1,5,NA,738279.6698,521831.8573," ","232113600440tree1",2.32e+11,"David Hillis",1834,"IN","Marshall",NA,"tree1","Other","Aspen","Poplar","Poplar/tulip poplar",NA,1.810512,"67.5"," "," "," "," ",NA,NA," "," "," ",NA," "," "," "," ","West","IN099",4,"RoqB",2481964,9.909999847,1026.640015,248.5852356,0.68,52.8400002,29.7199993,17.4300003,0.27,0.27,0.15,32.1699982,"Developed, Open Space",0.75999999,-6919.36267657937
"7",7,6,1,6,NA,737262.8017,535624.7445," ","234113500100tree2",2.34e+11,"David Hillis",1833,"IN","Marshall",NA,"tree2","Oak","White Oak","W oak","Oak",60,16.898112,"79"," "," "," "," ",NA,NA," "," "," ",NA," "," "," "," ","West","IN099",4,"BuuA",1702542,10.03999996,1018.289978,256.5773315,2.1099999,35.2299995,36.3800011,28.3899994,0.26,0.26,0.18,9.1700001,"Developed, Open Space",0.790000021,-2941.51079768558
"8",8,7,1,7,NA,742607.6648,533773.148," ","233123240600tree1",2.33e+11,"David Hillis",1834,"IN","Marshall",NA,"tree1","Oak","Red Oak","R. Oak","Oak",47,2.816352,"223"," "," "," "," ",NA,NA," "," "," ",NA," "," "," "," ","West","IN099",4,"OlcB",1702560,10.02000046,1018.940002,236.9490509,0.92,71.5299988,16.0799999,12.3900003,0.15,0.15,0.14,35.2200012,"Developed, Open Space",0.660000026,-1531.05224440724
"9",9,8,1,8,NA,740195.4455,528208.6623," ","233113700240tree2",2.33e+11,"David Hillis",1834,"IN","Marshall",NA,"tree2","Oak","White Oak","W. Oak","Oak",41,40.2336,"184"," "," "," "," ",NA,NA," "," "," ",NA," "," "," "," ","West","IN099",4,"RoqC2",2481965,9.979999542,1020.5,244.4405518,0.63,52.5699997,29.4500008,17.9799995,0.26,0.26,0.15,31.2999992,"Cultivated Crops",0.660000026,-4112.1847438534
"10",10,9,1,9,NA,735014.676,542130.51," ","234113340500tree1",2.34e+11,"David Hillis",1834,"IN","Marshall",NA,"tree1","Oak","Red Oak","R oak","Oak",40,0.402336,"295"," "," "," "," ",NA,NA," "," "," ",NA," "," "," "," ","West","IN099",4,"TxuB",1702570,9.93999958,1017.080017,235.9046936,0.48,88.9300003,6.6500001,4.4200001,0.08,0.08,0.09,91.7399979,"Developed, Open Space",0.460000008,-13.3231001327342
"11",11,10,1,10,NA,736190.4078,554127.689," ","235113400640tree1",2.35e+11,"David Hillis",1834,"IN","Marshall",NA,"tree1","Oak","Red Oak","R oak","Oak",40,2.414016,"106"," "," "," "," ",NA,NA," "," "," ",NA," "," "," "," ","West","IN141",4,"BuuA",200283,9.840000153,1020.799988,226.6328125,2.1099999,35.2299995,36.3800011,28.3899994,0.26,0.26,0.18,9.1700001,"Developed, Open Space",0.790000021,-388.07796703105
